#Star	ID	RA	RA_Error	DEC	DEC_Error	Parallax	Parallax_Error	BP-RP	Rad_Vel	Rad_Vel_Error	Teff
G031-026	2444474421702169856	2.083444076600378	0.04266470811834275	-5.249149148347696	0.021305744356246673	5.187279239873894	0.0509888606398845	0.8230562	-216.8034832683202	1.3730013444311258	5841.0
G171-050	385118623534199808	5.017223870794607	0.025752681262210423	42.728823527364455	0.014492618580504732	2.5554043658073256	0.03361091440609989	0.71889114	-9999	-9999	-9999
G158-100	2375647158466154112	8.477622845644854	0.03875591507579416	-12.133817992357603	0.0304059081758896	2.16717387689884	0.04921365076169204	0.9512081	-9999	-9999	5321.3335
G033-031	2777565593820729856	15.348367681105474	0.07788778543313878	15.25056680354806	0.04225040634519247	6.364417331705361	0.08050078374629889	1.1461048	253.6422274444797	1.0546278549681458	5046.0625
G005-019	29331710349509376	47.86047731419779	0.03862564961477888	12.617311830252785	0.02862480752958058	6.194751314675355	0.041802681317764455	0.8528986	-216.15933684804455	0.5184740846451991	5572.675
G037-037	125750427611380480	50.909462888899434	0.061790325023283015	33.97350219998693	0.03416544294163582	3.385903251304232	0.06938984733427372	0.76069546	-136.07216254640235	3.5029426988349153	5947.0947
G005-035	16730924842529024	51.212343484671045	0.049629184446806994	12.25446670490516	0.03260055133338895	9.272144729080626	0.05337823189949055	0.7935333	87.42200969981302	0.7893595625893858	5882.5
G246-038	491805851686912000	52.83548709219615	0.01698154854994538	66.72569399089528	0.021915380999201352	20.160291105334778	0.03254010743328568	0.92020226	-161.1347077581234	0.4737415977200865	5565.3003
G095-060	231377314239036032	59.00954556094418	0.023198271170427696	41.98832244284847	0.0119258002942904	3.618889187668396	0.02572227928140428	1.0681181	-9999	-9999	5528.97
G082-005	3202470247468181632	63.74486652432538	0.027570741367590856	-5.6294267465100525	0.017735139937189823	11.489331748450697	0.03939903642495962	0.9127817	294.8451589518132	0.27642595581804175	5479.333
G082-023	3204767092898845824	67.55517253334634	0.026688956973743645	-3.0547169063531547	0.020062709680628416	2.4229153447531413	0.03324285488507444	0.9743643	-9999	-9999	5334.3667
G247-027	471587172883551232	69.30231043708173	0.017681165121283073	60.73953825068807	0.012831796664568395	4.157668739715104	0.020072373094343537	1.01297	-9999	-9999	5298.0
G084-052	3214073909072572032	81.35682912939544	0.023140597050927553	-2.3198464228708517	0.023143527296989867	2.9767149487407827	0.03353820060290807	1.1651354	-9999	-9999	4919.0
G097-040	3338866382881422208	81.67955623252118	0.02287093156520616	9.817645994451984	0.019643877155965515	2.6066338602481873	0.026062560920279556	1.0025644	-9999	-9999	5195.0
LTT-2415	2910503176753011840	89.10424318559036	0.015738848498632465	-27.85966663845257	0.020253644284650995	2.546733098182326	0.02449983591683667	0.6174183	256.2393804716912	1.141717266493354	6817.0
G110-034	3159774183738728704	106.44291396587553	0.03721389292500717	11.308967761012472	0.03216855259391929	3.5016004902157594	0.042540420717805075	0.73187447	51.234549640940415	19.430907846273673	5749.21
G088-032	866863321051682176	112.67270853064625	0.04445289539589916	24.08517626542526	0.03592837489558358	3.875749259157661	0.04810358778978189	0.61286926	-235.79683492608814	0.81485709952126	6827.25
G088-042	672283023162052480	113.97794459121069	0.031974748025417596	19.203060989885326	0.02617112235883108	2.319464154499647	0.038013731553030325	0.89064026	-9999	-9999	5677.52
G251-024	1111624642439469824	106.72684190816666	0.03359852272720569	72.30771837450584	0.0489949166569616	30.50830001747288	0.059334362210853746	2.852869	-9999	-9999	3748.98
G046-005	596764819353882240	132.61530920644861	0.03176442799602278	7.618975239074636	0.025000432589583545	11.730775679909389	0.039852577988935	1.0052509	293.58920604992034	0.621985761006227	5131.0
G009-036 689795494613436160	134.49784955139535	0.09526080276124069	24.47188950899431	0.053810246320230244	4.576789216825478	0.07819901750193996	0.7812834	-47.52935981616916	1.8844276284213208	6165.705
G114-042	5759671677898613632	137.68760597926988	0.03349749878087345	-3.8037785008341296	0.033043414338564364	3.154065665404094	0.04125376338094452	0.7828808	-81.38022438955686	3.8728896194194586	5898.6665
G116-053 793616845706502784	146.925745325625	0.04547779677915502	33.37905828544687	0.03869424105470745	3.0429531582745954	0.08233057067669516	0.7854204	-110.36025796696826	7.465234371444804	5801.0
